"participant"	"speechrate"	"item"	"syntax"	"tapped"	"released"	"vowelduration"	"segmentAfterDuration"	"pause"	"trial"	"vowel"	"file"	"text"
1297	"fast"	2	"intransitive"	"Not Tapped"	"Unreleased"	0.03	0.13	0	26	"AH1"	"nogritfast_1297_2_1.wav"	"While you frot, Alex will be waiting."
1333	"fast"	2	"intransitive"	"Not Tapped"	"Unreleased"	0.09	0.04	0	24	"AH1"	"nogritfast_1333_2_1.wav"	"While you frot, Alex will be waiting."
1334	"fast"	2	"intransitive"	"Not Tapped"	"Unreleased"	0.07	0.06	0	29	"AH1"	"nogritfast_1334_2_1.wav"	"While you frot, Alex will be waiting."
1335	"fast"	2	"intransitive"	"Not Tapped"	"Unreleased"	0.1	0.07	0	22	"AH1"	"nogritfast_1335_2_1.wav"	"While you frot, Alex will be waiting."
1336	"fast"	2	"intransitive"	"Not Tapped"	"Released"	0.11	0.1	0	32	"AH1"	"nogritfast_1336_2_1.wav"	"While you frot, Alex will be waiting."
1337	"fast"	2	"intransitive"	"Not Tapped"	"Unreleased"	0.12	0.1	0	9	"AH1"	"nogritfast_1337_2_1.wav"	"While you frot, Alex will be waiting."
1338	"fast"	2	"intransitive"	"Not Tapped"	"Unreleased"	0.03	0.08	0	20	"AH1"	"nogritfast_1338_2_1.wav"	"While you frot, Alex will be waiting."
1339	"fast"	2	"intransitive"	"Not Tapped"	"Unreleased"	0.08	0.08	0	10	"AH1"	"nogritfast_1339_2_1.wav"	"While you frot, Alex will be waiting."
1340	"fast"	2	"intransitive"	"Not Tapped"	"Unreleased"	0.03	0.11	0	21	"AH1"	"nogritfast_1340_2_1.wav"	"While you frot, Alex will be waiting."
1350	"fast"	2	"intransitive"	"Not Tapped"	"Released"	0.08	0.13	0	21	"AH1"	"nogritfast_1350_2_1.wav"	"While you frot, Alex will be waiting."
435	"fast"	2	"transitive"	"Tapped"	"Unreleased"	0.03	0.03	0	25	"AH1"	"nogritfast_435_2_2.wav"	"While you frot Alex, Bob will be waiting."
593	"fast"	2	"transitive"	"Not Tapped"	"Unreleased"	0.03	0.11	0	13	"AH1"	"nogritfast_593_2_2.wav"	"While you frot Alex, Bob will be waiting."
1087	"fast"	2	"transitive"	"Not Tapped"	"Unreleased"	0.03	0.17	0	21	"AH1"	"nogritfast_1087_2_2.wav"	"While you frot Alex, Bob will be waiting."
1111	"fast"	2	"transitive"	"Not Tapped"	"Unreleased"	0.08	0.07	0	22	"AH1"	"nogritfast_1111_2_2.wav"	"While you frot Alex, Bob will be waiting."
1139	"fast"	2	"transitive"	"Tapped"	"Unreleased"	0.06	0.07	0	29	"AH1"	"nogritfast_1139_2_2.wav"	"While you frot Alex, Bob will be waiting."
1277	"fast"	2	"transitive"	"Not Tapped"	"Unreleased"	0.03	0.03	0	3	"AH1"	"nogritfast_1277_2_2.wav"	"While you frot Alex, Bob will be waiting."
1278	"fast"	2	"transitive"	"Tapped"	"Unreleased"	0.06	0.08	0	16	"AH1"	"nogritfast_1278_2_2.wav"	"While you frot Alex, Bob will be waiting."
1281	"fast"	2	"transitive"	"Tapped"	"Unreleased"	0.09	0.06	0	20	"AH1"	"nogritfast_1281_2_2.wav"	"While you frot Alex, Bob will be waiting."
1283	"fast"	2	"transitive"	"Tapped"	"Unreleased"	0.06	0.1	0	20	"AH1"	"nogritfast_1283_2_2.wav"	"While you frot Alex, Bob will be waiting."
1284	"fast"	2	"transitive"	"Tapped"	"Unreleased"	0.08	0.05	0	11	"AH1"	"nogritfast_1284_2_2.wav"	"While you frot Alex, Bob will be waiting."
1287	"fast"	2	"transitive"	"Not Tapped"	"Unreleased"	0.11	0.12	0	4	"AH1"	"nogritfast_1287_2_2.wav"	"While you frot Alex, Bob will be waiting."
1288	"fast"	2	"transitive"	"Not Tapped"	"Unreleased"	0.08	0.09	0	29	"AH1"	"nogritfast_1288_2_2.wav"	"While you frot Alex, Bob will be waiting."
1296	"fast"	2	"transitive"	"Not Tapped"	"Unreleased"	0.11	0.1	0	30	"AH1"	"nogritfast_1296_2_2.wav"	"While you frot Alex, Bob will be waiting."
1333	"fast"	2	"transitive"	"Not Tapped"	"Unreleased"	0.03	0.11	0	6	"AH1"	"nogritfast_1333_2_2.wav"	"While you frot Alex, Bob will be waiting."
1334	"fast"	2	"transitive"	"Not Tapped"	"Unreleased"	0.03	0.12	0	21	"AH1"	"nogritfast_1334_2_2.wav"	"While you frot Alex, Bob will be waiting."
1335	"fast"	2	"transitive"	"Not Tapped"	"Unreleased"	0.03	0.09	0	8	"AH1"	"nogritfast_1335_2_2.wav"	"While you frot Alex, Bob will be waiting."
1336	"fast"	2	"transitive"	"Not Tapped"	"Unreleased"	0.11	0.11	0	24	"AH1"	"nogritfast_1336_2_2.wav"	"While you frot Alex, Bob will be waiting."
1337	"fast"	2	"transitive"	"Not Tapped"	"Unreleased"	0.08	0.14	0	20	"AH1"	"nogritfast_1337_2_2.wav"	"While you frot Alex, Bob will be waiting."
1338	"fast"	2	"transitive"	"Not Tapped"	"Unreleased"	0.03	0.1	0	2	"AH1"	"nogritfast_1338_2_2.wav"	"While you frot Alex, Bob will be waiting."
1339	"fast"	2	"transitive"	"Not Tapped"	"Unreleased"	0.08	0.13	0	28	"AH1"	"nogritfast_1339_2_2.wav"	"While you frot Alex, Bob will be waiting."
1340	"fast"	2	"transitive"	"Tapped"	"Unreleased"	0.06	0.06	0	29	"AH1"	"nogritfast_1340_2_2.wav"	"While you frot Alex, Bob will be waiting."
1350	"fast"	2	"transitive"	"Not Tapped"	"Unreleased"	0.11	0.18	0	30	"AH1"	"nogritfast_1350_2_2.wav"	"While you frot Alex, Bob will be waiting."
435	"fast"	3	"intransitive"	"Not Tapped"	"Unreleased"	0.06	0.03	0	27	"AE1"	"nogritfast_435_3_1.wav"	"When you zat, Amy will be talking."
593	"fast"	3	"intransitive"	"Not Tapped"	"Unreleased"	0.1	0.04	0	10	"AE1"	"nogritfast_593_3_1.wav"	"When you zat, Amy will be talking."
1087	"fast"	3	"intransitive"	"Not Tapped"	"Unreleased"	0.15	0.11	0	24	"AE1"	"nogritfast_1087_3_1.wav"	"When you zat, Amy will be talking."
1111	"fast"	3	"intransitive"	"Not Tapped"	"Unreleased"	0.15	0.09	0	18	"AE1"	"nogritfast_1111_3_1.wav"	"When you zat, Amy will be talking."
1139	"fast"	3	"intransitive"	"Tapped"	"Unreleased"	0.11	0.08	0	30	"AE1"	"nogritfast_1139_3_1.wav"	"When you zat, Amy will be talking."
1277	"fast"	3	"intransitive"	"Not Tapped"	"Unreleased"	0.11	0.06	0	4	"AE1"	"nogritfast_1277_3_1.wav"	"When you zat, Amy will be talking."
1278	"fast"	3	"intransitive"	"Tapped"	"Unreleased"	0.13	0.08	0	12	"AE1"	"nogritfast_1278_3_1.wav"	"When you zat, Amy will be talking."
1281	"fast"	3	"intransitive"	"Tapped"	"Unreleased"	0.14	0.1	0	22	"AE1"	"nogritfast_1281_3_1.wav"	"When you zat, Amy will be talking."
1283	"fast"	3	"intransitive"	"Not Tapped"	"Unreleased"	0.15	0.1	0	23	"AE1"	"nogritfast_1283_3_1.wav"	"When you zat, Amy will be talking."
1284	"fast"	3	"intransitive"	"Not Tapped"	"Released"	0.17	0.15	0	10	"AE1"	"nogritfast_1284_3_1.wav"	"When you zat, Amy will be talking."
1287	"fast"	3	"intransitive"	"Not Tapped"	"Unreleased"	0.13	0.09	0	6	"AE1"	"nogritfast_1287_3_1.wav"	"When you zat, Amy will be talking."
1288	"fast"	3	"intransitive"	"Not Tapped"	"Unreleased"	0.14	0.09	0	32	"AE1"	"nogritfast_1288_3_1.wav"	"When you zat, Amy will be talking."
1296	"fast"	3	"intransitive"	"Not Tapped"	"Unreleased"	0.16	0.07	0	32	"AE1"	"nogritfast_1296_3_1.wav"	"When you zat, Amy will be talking."
1297	"fast"	3	"intransitive"	"Not Tapped"	"Unreleased"	0.2	0.11	0	16	"AE1"	"nogritfast_1297_3_1.wav"	"When you zat, Amy will be talking."
1333	"fast"	3	"intransitive"	"Not Tapped"	"Unreleased"	0.16	0.03	0	5	"AE1"	"nogritfast_1333_3_1.wav"	"When you zat, Amy will be talking."
1334	"fast"	3	"intransitive"	"Not Tapped"	"Unreleased"	0.15	0.11	0	17	"AE1"	"nogritfast_1334_3_1.wav"	"When you zat, Amy will be talking."
1335	"fast"	3	"intransitive"	"Not Tapped"	"Unreleased"	0.15	0.09	0	4	"AE1"	"nogritfast_1335_3_1.wav"	"When you zat, Amy will be talking."
1336	"fast"	3	"intransitive"	"Not Tapped"	"Released"	0.17	0.04	0	21	"AE1"	"nogritfast_1336_3_1.wav"	"When you zat, Amy will be talking."
1337	"fast"	3	"intransitive"	"Tapped"	"Unreleased"	0.16	0.07	0	17	"AE1"	"nogritfast_1337_3_1.wav"	"When you zat, Amy will be talking."
1339	"fast"	3	"intransitive"	"Not Tapped"	"Released"	0.13	0.06	0	27	"AE1"	"nogritfast_1339_3_1.wav"	"When you zat, Amy will be talking."
1340	"fast"	3	"intransitive"	"Not Tapped"	"Unreleased"	0.1	0.05	0	28	"AE1"	"nogritfast_1340_3_1.wav"	"When you zat, Amy will be talking."
1350	"fast"	3	"intransitive"	"Not Tapped"	"Released"	0.13	0.2	0	28	"AE1"	"nogritfast_1350_3_1.wav"	"When you zat, Amy will be talking."
435	"fast"	3	"transitive"	"Tapped"	"Unreleased"	0.14	0.06	0	5	"AE1"	"nogritfast_435_3_2.wav"	"When you zat Amy, Fred will be talking."
593	"fast"	3	"transitive"	"Not Tapped"	"Unreleased"	0.11	0.11	0	27	"AE1"	"nogritfast_593_3_2.wav"	"When you zat Amy, Fred will be talking."
1087	"fast"	3	"transitive"	"Not Tapped"	"Unreleased"	0.18	0.17	0	28	"AE1"	"nogritfast_1087_3_2.wav"	"When you zat Amy, Fred will be talking."
1111	"fast"	3	"transitive"	"Not Tapped"	"Unreleased"	0.15	0.12	0	5	"AE1"	"nogritfast_1111_3_2.wav"	"When you zat Amy, Fred will be talking."
1139	"fast"	3	"transitive"	"Tapped"	"Unreleased"	0.09	0.09	0	13	"AE1"	"nogritfast_1139_3_2.wav"	"When you zat Amy, Fred will be talking."
1277	"fast"	3	"transitive"	"Not Tapped"	"Unreleased"	0.03	0.04	0	32	"AE1"	"nogritfast_1277_3_2.wav"	"When you zat Amy, Fred will be talking."
1278	"fast"	3	"transitive"	"Tapped"	"Unreleased"	0.11	0.08	0	7	"AE1"	"nogritfast_1278_3_2.wav"	"When you zat Amy, Fred will be talking."
1281	"fast"	3	"transitive"	"Tapped"	"Unreleased"	0.13	0.08	0	4	"AE1"	"nogritfast_1281_3_2.wav"	"When you zat Amy, Fred will be talking."
1283	"fast"	3	"transitive"	"Not Tapped"	"Unreleased"	0.13	0.13	0	31	"AE1"	"nogritfast_1283_3_2.wav"	"When you zat Amy, Fred will be talking."
1284	"fast"	3	"transitive"	"Tapped"	"Unreleased"	0.11	0.08	0	23	"AE1"	"nogritfast_1284_3_2.wav"	"When you zat Amy, Fred will be talking."
1287	"fast"	3	"transitive"	"Tapped"	"Unreleased"	0.14	0.12	0	15	"AE1"	"nogritfast_1287_3_2.wav"	"When you zat Amy, Fred will be talking."
1288	"fast"	3	"transitive"	"Not Tapped"	"Unreleased"	0.08	0.11	0	20	"AE1"	"nogritfast_1288_3_2.wav"	"When you zat Amy, Fred will be talking."
1296	"fast"	3	"transitive"	"Tapped"	"Unreleased"	0.16	0.08	0	15	"AE1"	"nogritfast_1296_3_2.wav"	"When you zat Amy, Fred will be talking."
1297	"fast"	3	"transitive"	"Not Tapped"	"Unreleased"	0.18	0.13	0	18	"AE1"	"nogritfast_1297_3_2.wav"	"When you zat Amy, Fred will be talking."
1333	"fast"	3	"transitive"	"Not Tapped"	"Unreleased"	0.13	0.09	0	14	"AE1"	"nogritfast_1333_3_2.wav"	"When you zat Amy, Fred will be talking."
1334	"fast"	3	"transitive"	"Tapped"	"Unreleased"	0.12	0.11	0	9	"AE1"	"nogritfast_1334_3_2.wav"	"When you zat Amy, Fred will be talking."
1335	"fast"	3	"transitive"	"Tapped"	"Unreleased"	0.14	0.1	0	29	"AE1"	"nogritfast_1335_3_2.wav"	"When you zat Amy, Fred will be talking."
1336	"fast"	3	"transitive"	"Not Tapped"	"Unreleased"	0.14	0.14	0	7	"AE1"	"nogritfast_1336_3_2.wav"	"When you zat Amy, Fred will be talking."
1337	"fast"	3	"transitive"	"Not Tapped"	"Unreleased"	0.23	0.13	0	1	"AE1"	"nogritfast_1337_3_2.wav"	"When you zat Amy, Fred will be talking."
1338	"fast"	3	"transitive"	"Not Tapped"	"Unreleased"	0.09	0.12	0	26	"AE1"	"nogritfast_1338_3_2.wav"	"When you zat Amy, Fred will be talking."
1339	"fast"	3	"transitive"	"Not Tapped"	"Released"	0.13	0.08	0	17	"AE1"	"nogritfast_1339_3_2.wav"	"When you zat Amy, Fred will be talking."
1340	"fast"	3	"transitive"	"Tapped"	"Unreleased"	0.14	0.12	0	3	"AE1"	"nogritfast_1340_3_2.wav"	"When you zat Amy, Fred will be talking."
1350	"fast"	3	"transitive"	"Not Tapped"	"Released"	0.15	0.15	0	15	"AE1"	"nogritfast_1350_3_2.wav"	"When you zat Amy, Fred will be talking."
435	"fast"	4	"intransitive"	"Not Tapped"	"Unreleased"	0.05	0.07	0	4	"IH1"	"nogritfast_435_4_1.wav"	"Should you brit, Uma will come back."
593	"fast"	4	"intransitive"	"Not Tapped"	"Unreleased"	0.05	0.15	0	30	"IH1"	"nogritfast_593_4_1.wav"	"Should you brit, Uma will come back."
1087	"fast"	4	"intransitive"	"Not Tapped"	"Unreleased"	0.09	0.07	0	31	"IH1"	"nogritfast_1087_4_1.wav"	"Should you brit, Uma will come back."
1111	"fast"	4	"intransitive"	"Not Tapped"	"Unreleased"	0.05	0.07	0	7	"IH1"	"nogritfast_1111_4_1.wav"	"Should you brit, Uma will come back."
1139	"fast"	4	"intransitive"	"Tapped"	"Unreleased"	0.07	0.03	0	15	"IH1"	"nogritfast_1139_4_1.wav"	"Should you brit, Uma will come back."
1277	"fast"	4	"intransitive"	"Not Tapped"	"Unreleased"	0.07	0.04	0	28	"IH1"	"nogritfast_1277_4_1.wav"	"Should you brit, Uma will come back."
1278	"fast"	4	"intransitive"	"Tapped"	"Unreleased"	0.05	0.06	0	5	"IH1"	"nogritfast_1278_4_1.wav"	"Should you brit, Uma will come back."
1281	"fast"	4	"intransitive"	"Not Tapped"	"Unreleased"	0.06	0.03	0	2	"IH1"	"nogritfast_1281_4_1.wav"	"Should you brit, Uma will come back."
1283	"fast"	4	"intransitive"	"Not Tapped"	"Unreleased"	0.07	0.09	0.2	25	"IH1"	"nogritfast_1283_4_1.wav"	"Should you brit, Uma will come back."
1284	"fast"	4	"intransitive"	"Tapped"	"Unreleased"	0.04	0.07	0	18	"IH1"	"nogritfast_1284_4_1.wav"	"Should you brit, Uma will come back."
1287	"fast"	4	"intransitive"	"Not Tapped"	"Unreleased"	0.07	0.06	0	11	"IH1"	"nogritfast_1287_4_1.wav"	"Should you brit, Uma will come back."
1288	"fast"	4	"intransitive"	"Not Tapped"	"Unreleased"	0.06	0.07	0	21	"IH1"	"nogritfast_1288_4_1.wav"	"Should you brit, Uma will come back."
1296	"fast"	4	"intransitive"	"Not Tapped"	"Unreleased"	0.1	0.07	0	16	"IH1"	"nogritfast_1296_4_1.wav"	"Should you brit, Uma will come back."
1297	"fast"	4	"intransitive"	"Not Tapped"	"Unreleased"	0.04	0.06	0	17	"IH1"	"nogritfast_1297_4_1.wav"	"Should you brit, Uma will come back."
1333	"fast"	4	"intransitive"	"Not Tapped"	"Unreleased"	0.1	0.04	0.05	13	"IH1"	"nogritfast_1333_4_1.wav"	"Should you brit, Uma will come back."
1335	"fast"	4	"intransitive"	"Not Tapped"	"Unreleased"	0.05	0.03	0	31	"IH1"	"nogritfast_1335_4_1.wav"	"Should you brit, Uma will come back."
1336	"fast"	4	"intransitive"	"Not Tapped"	"Unreleased"	0.12	0.05	0	6	"IH1"	"nogritfast_1336_4_1.wav"	"Should you brit, Uma will come back."
1337	"fast"	4	"intransitive"	"Not Tapped"	"Unreleased"	0.12	0.06	0	2	"IH1"	"nogritfast_1337_4_1.wav"	"Should you brit, Uma will come back."
1338	"fast"	4	"intransitive"	"Not Tapped"	"Unreleased"	0.04	0.04	0	25	"IH1"	"nogritfast_1338_4_1.wav"	"Should you brit, Uma will come back."
1339	"fast"	4	"intransitive"	"Not Tapped"	"Released"	0.03	0.03	0	18	"IH1"	"nogritfast_1339_4_1.wav"	"Should you brit, Uma will come back."
1340	"fast"	4	"intransitive"	"Not Tapped"	"Unreleased"	0.04	0.12	0	8	"IH1"	"nogritfast_1340_4_1.wav"	"Should you brit, Uma will come back."
1350	"fast"	4	"intransitive"	"Not Tapped"	"Released"	0.06	0.1	0	13	"IH1"	"nogritfast_1350_4_1.wav"	"Should you brit, Uma will come back."
435	"fast"	4	"transitive"	"Not Tapped"	"Unreleased"	0.04	0.06	0	20	"IH1"	"nogritfast_435_4_2.wav"	"Should you brit Uma, Max will come back."
593	"fast"	4	"transitive"	"Not Tapped"	"Unreleased"	0.06	0.18	0	8	"IH1"	"nogritfast_593_4_2.wav"	"Should you brit Uma, Max will come back."
1087	"fast"	4	"transitive"	"Not Tapped"	"Unreleased"	0.08	0.06	0	15	"IH1"	"nogritfast_1087_4_2.wav"	"Should you brit Uma, Max will come back."
1111	"fast"	4	"transitive"	"Not Tapped"	"Unreleased"	0.04	0.09	0	29	"IH1"	"nogritfast_1111_4_2.wav"	"Should you brit Uma, Max will come back."
1139	"fast"	4	"transitive"	"Not Tapped"	"Unreleased"	0.1	0.07	0	22	"IH1"	"nogritfast_1139_4_2.wav"	"Should you brit Uma, Max will come back."
1277	"fast"	4	"transitive"	"Not Tapped"	"Unreleased"	0.05	0.03	0	10	"IH1"	"nogritfast_1277_4_2.wav"	"Should you brit Uma, Max will come back."
